log2FoldChange,pvalue,gene_id,symbol
0.090678037,0.513621465,ENSG00000038945,MSR1
1.519022715,0.001972272,ENSG00000039068,CDH1
-0.123365426,0.397697651,ENSG00000039123,MTREX
-0.504507534,0.088577132,ENSG00000039139,DNAH5
-0.958571858,0.012801045,ENSG00000039319,ZFYVE16
0.168611017,0.135473206,ENSG00000039523,RIPOR1
0.172889364,0.153405785,ENSG00000039560,RAI14
0.066037557,0.67421278,ENSG00000039650,PNKP
-0.583853172,2.89E-05,ENSG00000040199,PHLPP2
0.01557045,0.907161161,ENSG00000040275,SPDL1
-0.393099056,0.021804229,ENSG00000040341,STAU2
0.137626035,0.358166609,ENSG00000040487,SLC66A1
0.249980389,0.187803298,ENSG00000040531,CTNS
0.331255985,0.558927231,ENSG00000040608,RTN4R
-0.042564341,0.73089827,ENSG00000040633,PHF23
-0.256635162,0.098881185,ENSG00000040933,INPP4A
-0.908261003,0.121955854,ENSG00000041353,RAB27B
-0.143427385,0.286166959,ENSG00000041357,PSMA4
0.010851002,0.935901688,ENSG00000041802,LSG1
0.116057949,0.438815544,ENSG00000041880,PARP3
-0.271748035,0.01069949,ENSG00000041982,TNC
0.151527199,0.493610628,ENSG00000041988,THAP3
-0.189266269,0.211043852,ENSG00000042088,TDP1
-0.124219938,0.401470385,ENSG00000042286,AIFM2
0.037584271,0.905276895,ENSG00000042317,SPATA7
0.390786428,0.008454671,ENSG00000042429,MED17
-0.110632357,0.375796989,ENSG00000042445,RETSAT
-0.210643161,0.29466388,ENSG00000042493,CAPG
0.209762109,0.090476326,ENSG00000042753,AP2S1
-0.569539408,0.000865575,ENSG00000043093,DCUN1D1
-0.663669937,3.24E-06,ENSG00000043143,JADE2
0.322585738,0.074138054,ENSG00000043514,TRIT1
-0.217339085,0.09244847,ENSG00000044090,CUL7
0.069906447,0.480389239,ENSG00000044115,CTNNA1
-0.214211991,0.312358347,ENSG00000044446,PHKA2
-0.372181966,0.064226654,ENSG00000044459,CNTLN
3.164609927,4.08E-205,ENSG00000044574,HSPA5
-0.384325812,0.269745485,ENSG00000046647,GEMIN8
0.196586117,0.335835537,ENSG00000046651,OFD1
0.234496359,0.68588031,ENSG00000046653,GPM6B
-0.536323476,0.000827757,ENSG00000047056,WDR37
-0.412817895,0.01032052,ENSG00000047188,YTHDC2
-0.121956741,0.632047168,ENSG00000047230,CTPS2
-0.070762415,0.626780851,ENSG00000047249,ATP6V1H
-0.109579623,0.349659686,ENSG00000047315,POLR2B
-0.223288386,0.228285847,ENSG00000047346,FAM214A
-1.14932062,0.000697142,ENSG00000047410,TPR
-0.049866421,0.759487951,ENSG00000047578,KIAA0556
0.06587904,0.785763458,ENSG00000047579,DTNBP1
0.213720571,0.167485791,ENSG00000047621,C12orf4
-0.456192358,0.006750276,ENSG00000047634,SCML1
-0.02782245,0.806104617,ENSG00000047644,WWC3
0.210252954,0.033654929,ENSG00000047849,MAP4
-0.0021937,0.987013102,ENSG00000047932,GOPC
-0.340867934,0.086960677,ENSG00000048028,USP28
0.620526795,0.00253797,ENSG00000048052,HDAC9
-0.308467287,0.022306269,ENSG00000048140,TSPAN17
0.247304413,0.196298147,ENSG00000048162,NOP16
-0.526890161,0.072923566,ENSG00000048342,CC2D2A
-0.479893563,0.014613681,ENSG00000048392,RRM2B
0.105477229,0.466177282,ENSG00000048405,ZNF800
-0.03154433,0.813792154,ENSG00000048471,SNX29
0.289391232,0.063733971,ENSG00000048544,MRPS10
-0.617920201,0.000633353,ENSG00000048649,RSF1
-0.236782057,0.060188062,ENSG00000048707,VPS13D
-0.174410488,0.700049261,ENSG00000048740,CELF2
-0.038626504,0.724448147,ENSG00000048828,FAM120A
-0.139782229,0.277227017,ENSG00000048991,R3HDM1
-0.086914637,0.573775259,ENSG00000049130,KITLG
0.122266046,0.677933381,ENSG00000049167,ERCC8
0.176102744,0.165269277,ENSG00000049192,ADAMTS6
-0.040001237,0.754288971,ENSG00000049239,H6PD
-0.157511785,0.14156055,ENSG00000049245,VAMP3
-0.488419583,0.009609986,ENSG00000049246,PER3
0.004913819,0.970109904,ENSG00000049323,LTBP1
0.346283474,0.002911945,ENSG00000049449,RCN1
0.003372211,0.980573832,ENSG00000049540,ELN
0.099124802,0.539758871,ENSG00000049541,RFC2
0.17063931,0.135354928,ENSG00000049618,ARID1B
0.072962601,0.593745937,ENSG00000049656,CLPTM1L
0.376581146,0.014029392,ENSG00000049759,NEDD4L
0.077772745,0.671956912,ENSG00000049769,PPP1R3F
0.044467629,0.699640459,ENSG00000049860,HEXB
0.059178759,0.771052988,ENSG00000049883,PTCD2
-0.243707928,0.1022674,ENSG00000050130,JKAMP
0.049500294,0.603114034,ENSG00000050165,DKK3
0.511784399,0.031091614,ENSG00000050327,ARHGEF5
-0.639155047,0.065744285,ENSG00000050344,NFE2L3
0.378389828,0.007519725,ENSG00000050393,MCUR1
0.077514825,0.461066261,ENSG00000050405,LIMA1
0.283735999,0.114654267,ENSG00000050426,LETMD1
-0.270659938,0.051756544,ENSG00000050438,SLC4A8
-0.06652976,0.641108579,ENSG00000050748,MAPK9
-0.106903751,0.317712045,ENSG00000050820,BCAR1
-0.206770413,0.232242523,ENSG00000051009,FAM160A2
3.579101527,4.56E-252,ENSG00000051108,HERPUD1
0.329204472,0.029777263,ENSG00000051128,HOMER3
